"age","sex","location","transportation","education","job"
"above65","female","原台南縣","自用小客車(含小客貨兩用車)","小學以下",1
"above65","male","原台中縣","機車","專科",10
"40-50","female","台北市","機車","大學",7
"above65","male","基隆市","市區公車","專科",10
"above65","female","雲林縣","機車","小學以下",1
"50-60","male","彰化縣","機車","高中",7
"40-50","male","台東縣","自用小客車(含小客貨兩用車)","國初中",5
"50-60","male","原台中縣","機車","高中",10
"20-30","male","新北市","機車","大學",4
"20-30","female","高雄市","機車","大學",3
"above65","female","台南市","步行","小學以下",9
"50-60","male","屏東縣","機車","高中",4
"15-18","male","原台南縣","自行車","高中",2
"60-65","female","花蓮縣","自行車","小學以下",1
"60-65","female","苗栗縣","步行","高中",4
"60-65","male","桃園縣","機車","高中",10
"60-65","female","台北市","自用小客車(含小客貨兩用車)","專科",9
"above65","male","新北市","市區公車","高中",10
"above65","male","花蓮縣","自用小客車(含小客貨兩用車)","高中",10
"60-65","female","彰化縣","機車","高中",9
"60-65","male","宜蘭縣","自用大貨車(含大客貨兩用車)","高中",5
"60-65","female","宜蘭縣","自用小客車(含小客貨兩用車)","小學以下",10
"15-18","male","花蓮縣","市區公車","高中",12
"40-50","female","新竹縣","自用小客車(含小客貨兩用車)","專科",9
"above65","female","嘉義市","步行","小學以下",9
"30-40","female","原台中縣","自用小客車(含小客貨兩用車)","高中",7
"60-65","female","彰化縣","步行","小學以下",10
"60-65","female","原高雄縣","機車","國初中",9
"15-18","male","基隆市","市區公車","不知道",12
"50-60","male","苗栗縣","機車","專科",2
"above65","female","宜蘭縣","機車","小學以下",9
"60-65","female","澎湖縣","機車","小學以下",9
"30-40","female","桃園縣","機車","高中",7
"above65","female","澎湖縣","步行","小學以下",10
"50-60","female","台東縣","機車","小學以下",9
"30-40","female","原台南縣","機車","高中",7
"60-65","male","花蓮縣","機車","國初中",10
"40-50","female","台中市","機車","高中",4
"40-50","female","台北市","機車","高中",9
"above65","female","澎湖縣","步行","小學以下",9
"20-30","female","金門縣","機車","大學",7
"60-65","female","原高雄縣","機車","小學以下",9
"above65","male","嘉義縣","機車","小學以下",1
"50-60","male","台中市","機車","國初中",2
"50-60","male","南投縣","機車","國初中",10
"above65","male","台東縣","機車","小學以下",10
"above65","female","原台南縣","步行","小學以下",10
"50-60","female","桃園縣","機車","高中",9
"40-50","female","嘉義市","自用小客車(含小客貨兩用車)","專科",2
"30-40","female","新北市","捷運","大學",2
"60-65","female","新北市","自行車","高中",9
"20-30","male","苗栗縣","機車","高中",11
"60-65","male","金門縣","步行","大學",10
"50-60","male","桃園縣","自用小客車(含小客貨兩用車)","大學",10
"30-40","male","苗栗縣","自用小客車(含小客貨兩用車)","高中",7
"30-40","female","台東縣","機車","專科",7
"50-60","male","高雄市","機車","專科",8
"50-60","female","嘉義市","機車","國初中",9
"30-40","female","南投縣","自用小客車(含小客貨兩用車)","高中",6
"30-40","male","新竹縣","機車","大學",2
"50-60","male","原台南縣","自用小客車(含小客貨兩用車)","國初中",7
"50-60","male","原高雄縣","不知道/拒答","高中",11
"50-60","male","宜蘭縣","自用小客車(含小客貨兩用車)","國初中",5
"40-50","male","原台中縣","自用小客車(含小客貨兩用車)","專科",3
"50-60","female","高雄市","機車","高中",9
"50-60","female","屏東縣","機車","高中",3
"above65","male","高雄市","捷運","小學以下",10
"20-30","female","原台南縣","機車","大學",7
"above65","female","台北市","捷運","小學以下",9
"50-60","female","嘉義縣","公路客運","高中",11
"60-65","male","桃園縣","機車","大學",10
"40-50","female","宜蘭縣","臺鐵","高中",3
"50-60","male","屏東縣","機車","高中",7
"above65","male","嘉義縣","自行車","專科",10
"above65","male","屏東縣","計程車(含共乘)","國初中",10
"60-65","female","原台南縣","自行車","國初中",10
"50-60","female","高雄市","自行車","國初中",4
"60-65","female","台東縣","機車","國初中",1
"above65","female","嘉義縣","自行車","小學以下",9
"20-30","female","新竹市","機車","大學",11
"above65","male","新北市","市區公車","小學以下",10
"above65","male","基隆市","臺鐵","專科",7
"40-50","female","桃園縣","機車","高中",3
"above65","female","雲林縣","免費公車","小學以下",9
"above65","female","苗栗縣","自行車","小學以下",9
"40-50","female","台南市","機車","大學",6
"15-18","female","花蓮縣","機車","國初中",12
"20-30","female","原台中縣","機車","高中",7
"20-30","female","原台南縣","機車","大學",12
"50-60","female","花蓮縣","自行車","專科",2
"50-60","female","原台中縣","自用小客車(含小客貨兩用車)","專科",7
"30-40","female","澎湖縣","機車","專科",8
"above65","female","新竹市","自用小客車(含小客貨兩用車)","小學以下",9
"above65","male","南投縣","自用小客車(含小客貨兩用車)","專科",10
"60-65","male","桃園縣","自用小客車(含小客貨兩用車)","高中",7
"60-65","female","雲林縣","機車","國初中",9
"above65","female","彰化縣","機車","小學以下",9
"60-65","female","南投縣","機車","小學以下",9
"above65","female","屏東縣","機車","小學以下",9
"50-60","male","花蓮縣","自用小客車(含小客貨兩用車)","國初中",2
"60-65","male","新竹市","市區公車","大學",10
"above65","female","宜蘭縣","自用小客車(含小客貨兩用車)","小學以下",10
"18-20","male","基隆市","市區公車","高中",4
"above65","female","桃園縣","自用小客車(含小客貨兩用車)","小學以下",11
"30-40","male","台東縣","機車","大學",7
"above65","female","基隆市","市區公車","小學以下",9
"20-30","male","高雄市","機車","研究所",11
"above65","male","台東縣","機車","小學以下",10
"20-30","female","原台中縣","機車","大學",4
"60-65","female","金門縣","市區公車","小學以下",9
"above65","female","台東縣","計程車(含共乘)","小學以下",9
"40-50","female","原高雄縣","機車","高中",2
"above65","male","屏東縣","機車","小學以下",2
"30-40","male","台中市","機車","研究所",5
"20-30","female","新竹市","機車","高中",11
"60-65","female","原高雄縣","機車","高中",6
"30-40","female","新竹市","自用小客車(含小客貨兩用車)","研究所",2
"20-30","female","桃園縣","機車","大學",7
"30-40","female","南投縣","自用小客車(含小客貨兩用車)","高中",7
"40-50","male","原台南縣","自用小客車(含小客貨兩用車)","高中",7
"30-40","female","台北市","捷運","研究所",8
"above65","male","原台南縣","機車","小學以下",1
"50-60","female","原高雄縣","機車","高中",9
"60-65","female","基隆市","市區公車","小學以下",9
"30-40","male","嘉義市","自用小客車(含小客貨兩用車)","高中",4
"60-65","female","桃園縣","機車","高中",3
"30-40","male","苗栗縣","自用小客車(含小客貨兩用車)","高中",2
"60-65","male","新竹市","機車","國初中",2
"above65","female","新竹縣","市區公車","小學以下",9
"20-30","male","新北市","機車","高中",3
"50-60","male","高雄市","機車","國初中",5
"above65","male","苗栗縣","步行","高中",10
"20-30","male","澎湖縣","自用小客車(含小客貨兩用車)","大學",2
"50-60","female","台東縣","自用小客車(含小客貨兩用車)","專科",7
"20-30","male","南投縣","自用小貨車","大學",5
"40-50","male","宜蘭縣","機車","專科",2
"20-30","female","台南市","機車","高中",7
"above65","female","嘉義市","自用小客車(含小客貨兩用車)","高中",7
"20-30","male","雲林縣","機車","大學",8
"above65","female","屏東縣","自行車","小學以下",9
"above65","female","花蓮縣","步行","小學以下",10
"40-50","female","新北市","機車","大學",2
"40-50","male","新北市","自用小客車(含小客貨兩用車)","高中",5
"above65","male","宜蘭縣","機車","小學以下",10
"50-60","female","新竹縣","步行","高中",2
"above65","female","桃園縣","機車","高中",9
"60-65","female","原高雄縣","公路客運","小學以下",9
"above65","female","高雄市","步行","國初中",10
"60-65","male","新北市","機車","國初中",1
"40-50","female","台北市","捷運","高中",3
"40-50","female","基隆市","機車","專科",7
"50-60","female","原台南縣","機車","高中",7
"50-60","male","新北市","機車","高中",7
"40-50","female","新竹市","機車","高中",2
"40-50","male","新竹市","步行","高中",11
"30-40","female","新竹縣","機車","專科",2
"50-60","female","原台南縣","自用小客車(含小客貨兩用車)","高中",2
"60-65","female","南投縣","不知道/拒答","小學以下",9
"30-40","female","新竹縣","機車","高中",11
"above65","male","原台中縣","自用小客車(含小客貨兩用車)","高中",10
"above65","male","台中市","自用小客車(含小客貨兩用車)","高中",10
"50-60","female","原台中縣","自用小客車(含小客貨兩用車)","國初中",9
"above65","female","原高雄縣","機車","小學以下",9
"50-60","male","金門縣","機車","國初中",2
"30-40","female","台中市","自用小客車(含小客貨兩用車)","大學",7
"above65","male","原台南縣","機車","小學以下",10
"40-50","male","原高雄縣","機車","專科",11
"20-30","female","原台南縣","機車","大學",7
"50-60","female","原高雄縣","機車","高中",9
"40-50","female","彰化縣","自用小客車(含小客貨兩用車)","專科",2
"above65","female","澎湖縣","機車","小學以下",10
"40-50","male","新北市","自用小客車(含小客貨兩用車)","大學",6
"30-40","male","南投縣","機車","大學",8
"40-50","female","桃園縣","機車","高中",9
"60-65","female","原台中縣","機車","小學以下",9
"50-60","female","原高雄縣","自用小客車(含小客貨兩用車)","國初中",10
"60-65","female","南投縣","機車","小學以下",9
"50-60","male","嘉義市","機車","小學以下",7
"20-30","female","嘉義縣","自用小客車(含小客貨兩用車)","高中",7
"40-50","female","原台中縣","機車","專科",9
"30-40","male","台東縣","機車","高中",11
"above65","male","原台中縣","機車","高中",10
"30-40","female","嘉義市","自用小客車(含小客貨兩用車)","高中",7
"30-40","male","苗栗縣","自用小客車(含小客貨兩用車)","國初中",7
"above65","female","彰化縣","步行","小學以下",10
"20-30","male","金門縣","機車","大學",4
"50-60","female","台南市","機車","專科",9
"15-18","male","台北市","捷運","高中",12
"15-18","female","金門縣","步行","國初中",12
"50-60","female","嘉義縣","機車","高中",1
"above65","female","南投縣","自用小客車(含小客貨兩用車)","小學以下",9
"50-60","female","嘉義縣","機車","大學",10
"30-40","female","台南市","機車","高中",7
"50-60","female","原台南縣","機車","高中",9
"above65","male","台南市","機車","小學以下",11
"60-65","male","嘉義市","自用小客車(含小客貨兩用車)","專科",7
"30-40","female","桃園縣","機車","大學",7
"50-60","female","新竹市","自用小客車(含小客貨兩用車)","大學",9
"60-65","male","花蓮縣","自用小客車(含小客貨兩用車)","研究所",7
"40-50","female","南投縣","機車","高中",2
"50-60","female","台中市","機車","大學",9
"40-50","male","花蓮縣","自行車","高中",11
"50-60","male","原高雄縣","機車","國初中",2
"60-65","male","原高雄縣","機車","高中",3
"50-60","female","雲林縣","機車","高中",9
"40-50","male","原高雄縣","機車","高中",2
"above65","female","高雄市","步行","小學以下",10
"20-30","male","嘉義縣","機車","高中",4
"40-50","female","原台南縣","機車","高中",2
"20-30","female","澎湖縣","機車","高中",3
"40-50","female","台東縣","自用小客車(含小客貨兩用車)","專科",8
"15-18","female","金門縣","公路客運","高中",12
"15-18","male","新北市","步行","國初中",12
"60-65","female","金門縣","自行車","小學以下",7
"above65","female","台南市","機車","高中",9
"above65","male","雲林縣","步行","小學以下",10
"15-18","female","屏東縣","自行車","高中",12
"50-60","female","屏東縣","機車","高中",7
"50-60","female","嘉義市","機車","高中",9
"30-40","female","宜蘭縣","機車","研究所",9
"above65","female","台南市","機車","小學以下",9
"50-60","male","苗栗縣","自用小客車(含小客貨兩用車)","專科",2
"above65","female","原高雄縣","步行","小學以下",9
"18-20","male","屏東縣","自行車","大學",12
"40-50","female","嘉義縣","自用小客車(含小客貨兩用車)","高中",2
"above65","male","基隆市","機車","專科",10
"30-40","male","澎湖縣","自行車","國初中",7
"15-18","female","基隆市","市區公車","高中",12
"60-65","female","原台中縣","機車","小學以下",9
"60-65","male","澎湖縣","機車","大學",10
"above65","female","雲林縣","市區公車","小學以下",10
"above65","male","原台南縣","自行車","小學以下",10
"above65","male","原台南縣","機車","小學以下",10
"40-50","male","嘉義市","自用小客車(含小客貨兩用車)","高中",2
"50-60","male","桃園縣","機車","高中",8
"40-50","female","嘉義縣","機車","高中",2
"15-18","male","苗栗縣","步行","高中",12
"50-60","male","新北市","機車","國初中",7
"50-60","female","高雄市","機車","高中",7
"30-40","male","台南市","機車","國初中",2
"15-18","male","台東縣","步行","高中",12
"20-30","male","彰化縣","自用小客車(含小客貨兩用車)","大學",3
"50-60","male","雲林縣","自用小客車(含小客貨兩用車)","小學以下",2
"20-30","male","金門縣","機車","大學",11
"above65","female","嘉義縣","機車","小學以下",9
"50-60","male","桃園縣","自用小客車(含小客貨兩用車)","小學以下",11
"above65","male","台中市","自行車","小學以下",1
"20-30","male","金門縣","機車","研究所",11
"40-50","male","台北市","自用小客車(含小客貨兩用車)","大學",2
"above65","female","苗栗縣","步行","小學以下",10
"above65","male","南投縣","自用小客車(含小客貨兩用車)","高中",10
"above65","female","宜蘭縣","市區公車","小學以下",9
"above65","female","新北市","步行","小學以下",9
"15-18","female","屏東縣","機車","高中",12
"60-65","male","基隆市","步行","研究所",7
"40-50","female","花蓮縣","機車","國初中",7
"40-50","female","新竹市","自用小客車(含小客貨兩用車)","大學",7
"40-50","female","台南市","機車","高中",7
"40-50","female","彰化縣","機車","高中",3
"30-40","female","台中市","自用小客車(含小客貨兩用車)","研究所",9
"20-30","male","新竹縣","機車","大學",12
"20-30","male","屏東縣","機車","大學",12
"above65","male","原台南縣","機車","高中",11
"60-65","male","新竹縣","機車","高中",10
"15-18","male","原台南縣","自行車","高中",12
"40-50","female","苗栗縣","機車","高中",2
"30-40","female","嘉義縣","自用小客車(含小客貨兩用車)","專科",1
"50-60","male","原台中縣","自行車","國初中",11
"above65","female","嘉義縣","機車","小學以下",10
"18-20","male","原高雄縣","機車","小學以下",11
"30-40","male","雲林縣","自用小客車(含小客貨兩用車)","大學",11
